station,observation_time,temperature_c,dewpoint_c,dewpoint_spread_c,wind_direction_deg,wind_speed_kt,visibility_sm,ceiling_ft,flight_category,target_time,future_observation_time,future_flight_category
KCOS,2026-07-31 12:54:00+00:00,20.0,11.1,8.9,290,10,10.0,,VFR,2026-07-31 13:54:00+00:00,2026-07-31 13:54:00+00:00,VFR
KCOS,2026-07-31 13:54:00+00:00,22.8,11.1,11.7,330,7,10.0,,VFR,2026-07-31 14:54:00+00:00,2026-07-31 14:54:00+00:00,VFR
KCOS,2026-07-31 14:54:00+00:00,25.0,10.6,14.4,340,6,10.0,,VFR,2026-07-31 15:54:00+00:00,2026-07-31 15:54:00+00:00,VFR
KCOS,2026-07-31 15:54:00+00:00,26.1,9.4,16.7,VRB,3,10.0,,VFR,2026-07-31 16:54:00+00:00,2026-07-31 16:54:00+00:00,VFR
KCOS,2026-07-31 16:54:00+00:00,27.2,11.7,15.5,230,4,10.0,,VFR,2026-07-31 17:54:00+00:00,2026-07-31 17:54:00+00:00,VFR
KCOS,2026-07-31 17:54:00+00:00,28.3,11.7,16.6,200,10,10.0,,VFR,2026-07-31 18:54:00+00:00,2026-07-31 18:54:00+00:00,VFR
KCOS,2026-07-31 18:54:00+00:00,28.3,11.7,16.6,200,13,10.0,,VFR,2026-07-31 19:54:00+00:00,2026-07-31 19:54:00+00:00,VFR
KCOS,2026-07-31 19:54:00+00:00,27.2,11.1,16.1,210,12,10.0,,VFR,2026-07-31 20:54:00+00:00,2026-07-31 20:54:00+00:00,VFR
KCOS,2026-07-31 20:54:00+00:00,23.3,7.8,15.5,70,10,10.0,10000.0,VFR,2026-07-31 21:54:00+00:00,2026-07-31 21:54:00+00:00,VFR
KCOS,2026-07-31 21:54:00+00:00,26.1,10.0,16.1,90,16,10.0,,VFR,2026-07-31 22:54:00+00:00,2026-07-31 22:54:00+00:00,VFR
KCOS,2026-07-31 22:54:00+00:00,25.6,10.0,15.6,170,9,10.0,,VFR,2026-07-31 23:54:00+00:00,2026-07-31 23:54:00+00:00,VFR
KCOS,2026-07-31 23:54:00+00:00,25.0,10.6,14.4,VRB,4,10.0,,VFR,2026-08-01 00:54:00+00:00,2026-08-01 00:54:00+00:00,VFR
KCOS,2026-08-01 00:47:00+00:00,24.4,10.0,14.4,280,5,10.0,,VFR,2026-08-01 01:47:00+00:00,2026-08-01 01:54:00+00:00,VFR
KCOS,2026-08-01 00:54:00+00:00,25.0,10.0,15.0,240,3,10.0,,VFR,2026-08-01 01:54:00+00:00,2026-08-01 01:54:00+00:00,VFR
KCOS,2026-08-01 01:13:00+00:00,23.3,11.7,11.6,0,0,10.0,,VFR,2026-08-01 02:13:00+00:00,2026-08-01 01:54:00+00:00,VFR
KCOS,2026-08-01 01:54:00+00:00,23.3,11.1,12.2,360,3,10.0,,VFR,2026-08-01 02:54:00+00:00,2026-08-01 02:54:00+00:00,VFR
KCOS,2026-08-01 02:54:00+00:00,22.8,11.1,11.7,0,0,10.0,11000.0,VFR,2026-08-01 03:54:00+00:00,2026-08-01 03:54:00+00:00,VFR
KCOS,2026-08-01 03:54:00+00:00,21.1,10.0,11.1,220,6,10.0,,VFR,2026-08-01 04:54:00+00:00,2026-08-01 04:54:00+00:00,VFR
KCOS,2026-08-01 04:54:00+00:00,18.9,11.1,7.8,30,5,10.0,,VFR,2026-08-01 05:54:00+00:00,2026-08-01 05:54:00+00:00,VFR
KCOS,2026-08-01 05:54:00+00:00,17.8,11.1,6.7,10,6,10.0,,VFR,2026-08-01 06:54:00+00:00,2026-08-01 06:54:00+00:00,VFR
KCOS,2026-08-01 06:54:00+00:00,16.7,11.1,5.6,320,3,10.0,,VFR,2026-08-01 07:54:00+00:00,2026-08-01 07:54:00+00:00,VFR
KCOS,2026-08-01 07:54:00+00:00,17.8,9.4,8.4,0,0,10.0,,VFR,2026-08-01 08:54:00+00:00,2026-08-01 08:54:00+00:00,VFR
KCOS,2026-08-01 08:54:00+00:00,17.2,10.6,6.6,320,3,10.0,,VFR,2026-08-01 09:54:00+00:00,2026-08-01 09:54:00+00:00,VFR
KCOS,2026-08-01 09:54:00+00:00,15.0,10.6,4.4,40,5,10.0,,VFR,2026-08-01 10:54:00+00:00,2026-08-01 10:54:00+00:00,VFR
KCOS,2026-08-01 10:54:00+00:00,15.0,10.0,5.0,40,3,10.0,,VFR,2026-08-01 11:54:00+00:00,2026-08-01 11:54:00+00:00,VFR
KCOS,2026-08-01 11:54:00+00:00,14.4,10.6,3.8,50,3,10.0,,VFR,2026-08-01 12:54:00+00:00,2026-08-01 12:54:00+00:00,VFR
KCOS,2026-08-01 12:54:00+00:00,17.2,11.1,6.1,110,4,10.0,,VFR,2026-08-01 13:54:00+00:00,2026-08-01 13:54:00+00:00,VFR
KCOS,2026-08-01 13:54:00+00:00,20.0,11.7,8.3,80,6,10.0,,VFR,2026-08-01 14:54:00+00:00,2026-08-01 14:54:00+00:00,VFR
